[2025-12-17 18:21:24.239][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.252][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.253][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.268][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.274][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.286][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.286][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.292][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.292][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.292][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.310][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.310][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.313][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.319][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.323][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.327][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.330][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.333][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.342][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.350][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.350][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.358][DBG] callback [2]data len[1300].
[2025-12-17 18:21:24.358][DBG] callback [0]data len[4].
[2025-12-17 18:21:24.358][DBG] callback status[1000].
[2025-12-17 18:21:24.358][INF] [CLongLinkCtrlPrivate::RecvThreadFunc] RecvThreadFunc EXIT, this=0x46e84448, linkid=4494e1f4
[2025-12-17 18:21:24.408][INF] [0]CLongConfigSession::Stop in
[2025-12-17 18:21:24.408][INF] COM_Logout[0][1]
[2025-12-17 18:21:24.408][DBG] CUserMgr::UnRegisterHeartProxy[0]
[2025-12-17 18:21:24.489][INF] COM_Logout[0][1]
[2025-12-17 18:21:24.490][INF] CTransUnitMgr::UnloadTransUnitLib
