Programa de financiaciÛn;Entidad CP;DenominaciÛn;DescripciÛn;Validez de;Validez a;Fecha de expiraciÛn
QAUF0341;PUCE;HISTORIA DEL ARTE EC;HISTORIA DEL ARTE ECUATORIANO OCTUBRE A;01/01/1900;31/12/2019;31/12/2019
QAUF0342;PUCE;TECNISEGUROS;TECNISEGUROS;01/01/1900;31/12/9999;31/12/9999
QAUF0343;PUCE;ALEMAN 5 EN LINEA SE;ALEMAN 5 EN LINEA SEPTIEMBRE A DICIEMBRE;01/01/1900;31/12/2019;31/12/2019
QAUF0344;PUCE;INTRODUCCION A LA CO;INTRODUCCION A LA CORRECCION DE TEXTOS;01/01/1900;31/12/2019;31/12/2019
QAUF0345;PUCE;DISENO SUSTENTABLE D;DISENO SUSTENTABLE DE ACUERDO A LA RESOL;01/01/1900;31/12/2019;31/12/2019
QAUF0346;PUCE;DISENO SUSTENTABLE S;DISENO SUSTENTABLE SISTEMAS DE GESTION D;01/01/1900;31/12/2019;31/12/2019
QAUF0347;PUCE;TALLER PRACTICO - PR;TALLER PRACTICO - PRACTICA DE DETALLES A;01/01/1900;31/12/2019;31/12/2019
QAUF0348;PUCE;URBANISMO SOCIAL- LI;URBANISMO SOCIAL- LINEAMIENTOS Y ESTRATE;01/01/1900;31/12/2019;31/12/2019
QAUF0349;PUCE;ARQUITECTURA SIN ARQ;ARQUITECTURA SIN ARQUITECTO;01/01/1900;31/12/2019;31/12/2019
QAUF0350;PUCE;PUCE - UNIVERSIDAD L;PUCE - UNIVERSIDAD LOYOLA - NEW ORLEANS;01/01/1900;31/12/2019;31/12/2019
QAUF0351;PUCE;EXAMEN TESTDAFT;EXAMEN TESTDAFT;01/01/1900;31/12/2019;31/12/2019
QAUF0352;PUCE;RAZON Y SER DE LA VI;RAZON Y SER DE LA VIVIENDA COLECTIVA- TE;01/01/1900;31/12/2019;31/12/2019
QAUF0353;PUCE;PAISAJE CULTURAL PRE;PAISAJE CULTURAL PREHISPANICO EN LAS HUE;01/01/1900;31/12/2019;31/12/2019
QAUF0354;PUCE;CONSULTORIA CAMPANA;CONSULTORIA CAMPANA DE CAMPO PARA EL MON;01/01/1900;31/12/9999;31/12/9999
QAUF0355;PUCE;CROMATICA INDIGENA Y;CROMATICA INDIGENA Y MESTIZA- REFLEXION;01/01/1900;31/12/2019;31/12/2019
QAUF0356;PUCE;HISTORIA DEL ARTE EC;HISTORIA DEL ARTE ECUATORIANO SEPTIEMBRE;01/01/1900;31/12/2019;31/12/2019
QAUF0357;PUCE;HERRAMIENTAS DIDACTI;HERRAMIENTAS DIDACTICAS EN EL PROCESO ED;01/01/1900;31/12/2019;31/12/2019
QAUF0358;PUCE;PROCESO DE CUIDADO N;PROCESO DE CUIDADO NUTRICIONAL;01/01/1900;31/12/2019;31/12/2019
QAUF0359;PUCE;FUNDAMENTOS DE LA ES;FUNDAMENTOS DE LA ESTADISTICA PARA INVES;01/01/1900;31/12/2019;31/12/2019
QAUF0360;PUCE;HERRAMIENTAS GERENCI;HERRAMIENTAS GERENCIALES PARA LA GESTION;01/01/1900;31/12/2019;31/12/2019
QAUF0361;PUCE;BUSQUEDA Y CARACTERI;BUSQUEDA Y CARACTERIZACION COMPUESTOS;01/01/1900;31/12/9999;31/12/9999
QAUF0362;PUCE;FORTALECIMIENTOS Y C;FORTALECIMIENTOS Y CARACTERIZACION ENDOF;01/01/1900;31/12/9999;31/12/9999
QAUF0363;PUCE;DINAMICA STOCKS DE C;DINAMICA STOCKS DE CARBONO;01/01/1900;31/12/9999;31/12/9999
QAUF0364;PUCE;CAMBIO CLIMATICO IMP;CAMBIO CLIMATICO IMPACTO DESHIELO;01/01/1900;31/12/9999;31/12/9999
QAUF0365;PUCE;BUSQUEDA PRODUCTOS N;BUSQUEDA PRODUCTOS NATURALES;01/01/1900;31/12/9999;31/12/9999
QAUF0366;PUCE;BANCAS -NEGOCIACION;BANCAS -NEGOCIACION EFECTIVA DE ACUERDO;01/01/1900;31/12/2019;31/12/2019
QAUF0367;PUCE;COMPRAS -NEGOCIACION;COMPRAS -NEGOCIACION EFECTIVA DE ACUERDO;01/01/1900;31/12/2019;31/12/2019
QAUF0368;PUCE;VENTA CANA DE AZUCAR;VENTA CANA DE AZUCAR;01/01/1900;31/12/9999;31/12/9999
QAUF0369;PUCE;SALDO VILLANO - AREA;SALDO VILLANO - AREAS DEFORESTADAS Y OTR;01/01/1900;31/12/2020;31/12/2020
QAUF0370;PUCE;PUCETON;PUCETON;01/01/1900;31/12/9999;31/12/9999
QAUF0371;PUCE;TIPIFICACION;TIPIFICACION;01/01/1900;31/12/9999;31/12/9999
QAUF0372;PUCE;MONITOREO;MONITOREO;01/01/1900;31/12/9999;31/12/9999
QAUF0373;PUCE;VIRUS;VIRUS;01/01/1900;31/12/9999;31/12/9999
QAUF0374;PUCE;CONGRESO TALLER INTE;CONGRESO TALLER INTERNACIONAL RESPONSABI;01/01/1900;31/12/2019;31/12/2019
QAUF0375;PUCE;COMO CONSTRUIR UN IN;COMO CONSTRUIR UN INODORO QUE UTILICE SO;01/01/1900;31/12/2019;31/12/2019
QAUF0376;PUCE;ARQUITECTURA- TERCER;ARQUITECTURA- TERCERA PIEL;01/01/1900;31/12/2019;31/12/2019
QAUF0377;PUCE;REDACCION EFECTIVA-;REDACCION EFECTIVA- APLICABLE A LOS DOCU;01/01/1900;31/12/2019;31/12/2019
QAUF0378;PUCE;PRIMER ENCUENTRO INT;PRIMER ENCUENTRO INTERNACIONAL DE HISTOR;01/01/1900;31/12/2019;31/12/2019
QAUF0379;PUCE;CURSO DE NIVELACION;CURSO DE NIVELACION - SEPTIEMBRE 2018;01/01/1900;31/12/2019;31/12/2019
QAUF0380;PUCE;ALEMAN NIVEL 2 SABAT;ALEMAN NIVEL 2 SABATINO;01/01/1900;31/12/2019;31/12/2019
QAUF0381;PUCE;DEL LATIN A LAS LENG;DEL LATIN A LAS LENGUAN ROMANCES;01/01/1900;31/12/2019;31/12/2019
QAUF0382;PUCE;TALLER DE PREPARACIO;TALLER DE PREPARACION PARA EL EXAMEN COM;01/01/1900;31/12/2019;31/12/2019
QAUF0383;PUCE;CURSO DE CAPACITACIO;CURSO DE CAPACITACION COOPERATIVA 29 DE;01/01/1900;31/12/2019;31/12/2019
QAUF0384;PUCE;ENCUENTRO INTERNACIO;ENCUENTRO INTERNACIONAL PARA LA CONSTRUC;01/01/1900;31/12/2019;31/12/2019
QAUF0385;PUCE;SEP- EDUCACION DIGIT;SEP- EDUCACION DIGITAL PARA LA FORMACION;01/01/1900;31/12/2019;31/12/2019
QAUF0386;PUCE;FUNDAMENTO DEL APREN;FUNDAMENTO DEL APRENDIZAJE- APLICACIONES;01/01/1900;31/12/2019;31/12/2019
QAUF0387;PUCE;INTERESES PRESTAMO S;INTERESES PRESTAMO SEDE MANABI;01/01/1900;31/12/9999;31/12/9999
QAUF0388;PUCE;I CONGRESO INTERNACI;I CONGRESO INTERNACIONAL DE INVESTIGACION EN PSICO;01/01/1900;31/12/2019;31/12/2019
QAUF0389;PUCE;CASE;CASE;01/01/1900;31/12/9999;31/12/9999
QAUF0390;PUCE;CENTRO DE TRADUCCION;CENTRO DE TRADUCCIONES;01/01/1900;31/12/9999;31/12/9999
QAUF0391;PUCE;AMPLIACION INSTALACI;AMPLIACION INSTALACIONES PLAYA ANCHA (GASTOS);01/01/1900;15/01/2020;15/01/2020
QAUF0392;PUCE;RECONSTRUCCION BAHIA;RECONSTRUCCION BAHIA-TRABAJOS FINALES (GASTOS);01/01/1900;15/01/2020;15/01/2020
QAUF0393;PUCE;RECONSTRUCCION MANAB;RECONSTRUCCION MANABI (GASTOS);01/01/1900;15/01/2020;15/01/2020
QAUF0394;PUCE;RECONSTRUCCION PORTO;RECONSTRUCCION PORTOVIEJO-TRABAJOS FINAL (GASTOS);01/01/1900;15/01/2020;15/01/2020
QAUF0395;PUCE;PEDAGOGÕA HOSPITALAR;PEDAGOGÕA HOSPITALARIA;01/10/2018;31/12/2018;31/12/2018
QAUF0396;PUCE;CURSO DE ESPECIALIZA;CURSO DE ESPECIALIZACI”N DE TEORÕA DEL DISE—O;25/10/2018;31/12/2018;31/12/2018
QAUF0397;PUCE;ITALIANO NIVE 6 SEMI;ITALIANO NIVE 6 SEMIPRESENCIAL;13/10/2018;31/12/2018;31/12/2018
QAUF0398;PUCE;REGULACI”N ECON”MICA;REGULACI”N ECON”MICA Y AN¡LISIS DE IMPACTO REGULAT;22/10/2018;31/12/2018;31/12/2018
QAUF0399;PUCE;INFORME TEM¡TICO SOB;INFORME TEM¡TICO SOBRE LA SITUACI”N DE LOS DERECHO;01/06/2018;31/12/2018;31/12/2018
QAUF0400;PUCE;ACTUALIZACI√ìN DE LA;ACTUALIZACI√ìN DE LA MICROZONIFICACI√ìN S√çSMICA D;23/07/2018;31/12/2019;31/12/2019
QAUF0401;PUCE;CIUDADAN√çA Y DEMOCR;CIUDADAN√çA Y DEMOCRACIA EN UN MUNDO GLOBAL;29/10/2018;31/12/2019;31/12/2019
