CÓDIGO SAP;DESCRIPCIÓN SAP
381; FAST DRY                                                                                             
382; FC                                                                                                   
383; FENDER                                                                                               
384; FENEM                                                                                                
385; FERRO DEPORTES                                                                                       
386; FERROMEDICA                                                                                          
387; FERROTECNIA                                                                                          
388; FIBER LITE                                                                                           
389; FIRE CONTROL                                                                                         
390; FIRE MASTER                                                                                          
391; FIREBLANKET                                                                                          
392; FIRMESA                                                                                              
393; FIRMESA NIVELINE                                                                                     
394; FISHER                                                                                               
395; FISHER  BIOTECH                                                                                      
396; FISHER SCIENTIFIC                                                                                    
397; FISHER TISSUEMATON                                                                                   
398; FLAMINETA                                                                                            
399; FLANDERS                                                                                             
400; FLY                                                                                                  
401; FORD                                                                                                 
402; FORESTA                                                                                              
403; FORGED STEEL                                                                                         
404; FORJADO                                                                                              
405; FORMREPLIC                                                                                           
406; FOTODYME                                                                                             
407; FRANKE                                                                                               
408; FRANKLIN ELECTRIC                                                                                    
409; FREDONIA WIS                                                                                         
410; FREEMANS                                                                                             
411; FRIGIDAIRE                                                                                           
412; FUJICA                                                                                               
413; FUJITSU                                                                                              
414; FULEX                                                                                                
415; GAF                                                                                                  
416; GAN MAR                                                                                              
417; GARMIN                                                                                               
418; GASTT MEG CORPORATION                                                                                
419; GATEWAY                                                                                              
420; GAUGE                                                                                                
421; GB SUMINISTRO                                                                                        
422; GCA PRECISION SCIENTIFIC                                                                             
423; G-E                                                                                                  
424; GEHA                                                                                                 
425; GELLAN                                                                                               
426; GEMINI                                                                                               
427; GEMMY                                                                                                
428; GENERAL                                                                                              
429; GENERAL ELECTRIC                                                                                     
430; GENERAL FIRE                                                                                         
431; GENERAL MG                                                                                           
