CÓDIGO SAP;DESCRIPCIÓN SAP
1198; M.FIGUEROA                                                                                           
1199; LAKEWOOD                                                                                             
1200; LEADER                                                                                               
1201; KOHLER                                                                                               
1202; GOCCIA                                                                                               
1203; FINNPIPETTE                                                                                          
1204; EXACTA                                                                                               
1205; SOURCECO                                                                                             
1206; BELL SOUTH                                                                                           
1207; BENWIN                                                                                               
1208; BLOCK CROSS                                                                                          
1209; BRÜEL&KJAER                                                                                          
1210; FULL DYNAMIC STEREO                                                                                  
1211; KDK                                                                                                  
1212; MABON                                                                                                
1213; MAGON                                                                                                
1214; MEMOKA                                                                                               
1215; MERCURY                                                                                              
1216; METRION                                                                                              
1217; MJ REASERCH                                                                                          
1218; MOD TAP                                                                                              
1219; MYERS                                                                                                
1220; NOVA                                                                                                 
1221; OFFICE CONNECT                                                                                       
1222; PC LIMITED                                                                                           
1223; POCKET BALANCE                                                                                       
1224; PORTABLE LAMP                                                                                        
1225; PRECISA                                                                                              
1226; ULTRAKO                                                                                              
1227; XIRCOM                                                                                               
1228; TSUNAMI                                                                                              
1229; UBL                                                                                                  
1230; TETRA                                                                                                
1231; TRANSSLATOR                                                                                          
1232; TESPA                                                                                                
1233; HAMAI                                                                                                
1234; GRAKEN                                                                                               
1235; ABC INTERIO                                                                                          
1236; DUMBBELLS                                                                                            
1237; ACIL                                                                                                 
1238; BELKIN                                                                                               
1239; CONTROL K UDL                                                                                        
1240; CORNICA                                                                                              
1241; CRALAB                                                                                               
1242; DRUMMOND                                                                                             
1243; ENOINER                                                                                              
1244; EPLAB                                                                                                
1245; HAYWARD                                                                                              
1246; HOMAK                                                                                                
1247; IMER                                                                                                 
1248; HP COMPUTE                                                                                           
1249; PROPPER                                                                                              
1250; PROCORP                                                                                              
1251; PUCE                                                                                                 
1252; PYRAMIT                                                                                              
1253; Q KUBOTA                                                                                             
1254; QUEZADA                                                                                              
1255; BIO-TEK INSTRUMENTS                                                                                  
1256; BERKELEY PUMPCO                                                                                      
1257; BIZECBA                                                                                              
1258; CORRADI                                                                                              
1259; ECUATORIAN DE ARTEFACTOS                                                                             
1260; F. I NEUMANN HAMBURG                                                                                 
1261; FARFISA                                                                                              
1262; GWI                                                                                                  
1263; KELYX                                                                                                
1264; KENMORE                                                                                              
1265; MAGNETEG                                                                                             
1266; INFINITE SWITCH                                                                                      
1267; INLINE                                                                                               
1268; INSTRUMENTATION                                                                                      
1269; KASTEX                                                                                               
1270; KINDERMANN                                                                                           
1271; KIXOX                                                                                                
1272; LINK BUILDER                                                                                         
1273; NISCO                                                                                                
1274; OLIBET                                                                                               
1275; MILLIPORE                                                                                            
1276; PRINCO                                                                                               
1277; PURITAN                                                                                              
1278; QSP                                                                                                  
1279; RECAL WARE                                                                                           
1280; RECOPLASTI                                                                                           
1281; REQUIRED                                                                                             
1282; QUARTZ                                                                                               
1283; RICHMOND                                                                                             
1284; RIDGID                                                                                               
1285; RIMAPK                                                                                               
1286; RISO                                                                                                 
1287; SANSON                                                                                               
1288; SCOLTEC                                                                                              
1289; SESSIOMS                                                                                             
1290; RUNCO                                                                                                
1291; SHAKESPEARE                                                                                          
1292; SHELLAB                                                                                              
1293; SINCO                                                                                                
1294; SPECTRAFUGE                                                                                          
1295; STANCOR                                                                                              
1296; SYBRON                                                                                               
1297; SYNTRONIC                                                                                            
1298; TECHNE                                                                                               
1299; TIARA                                                                                                
1300; CONDUCT YSI                                                                                          
1301; EFI                                                                                                  
1302; HERMAN                                                                                               
1303; HONEY WELL                                                                                           
1304; MEDAX                                                                                                
1305; MACHINE                                                                                              
1306; MODERAZZY                                                                                            
1307; MIRS                                                                                                 
1308; POLYWELL                                                                                             
1309; SUPER SAMSON                                                                                         
1310; APEX                                                                                                 
1311; ARON                                                                                                 
1312; ARTI ALAMBRE                                                                                         
1313; AUDIOTECNICA                                                                                         
1314; AUTOMATIC HEATER                                                                                     
1315; AUTOMATIC PERCOLATO                                                                                  
1316; BARNESS                                                                                              
1317; BELL TIMER                                                                                           
1318; CORDEHOTEL                                                                                           
1319; DUAL                                                                                                 
1320; FREE CALLER                                                                                          
1321; IFV                                                                                                  
1322; IHM                                                                                                  
1323; KALT                                                                                                 
1324; MINEBEN ONKIO                                                                                        
1325; NESCAPE                                                                                              
1326; TRANSTUBE                                                                                            
1327; RICHELT                                                                                              
1328; TRANSFEPETTE                                                                                         
1329; SUMMAGRID V                                                                                          
1330; SUPER STACK                                                                                          
1331; SYQUEST                                                                                              
1332; ULTELEX                                                                                              
1333; VWR SCIENTIFIC                                                                                       
1334; CLARK                                                                                                
1335; EVINRUDE                                                                                             
1336; HAWILTON BACH                                                                                        
1337; JAPONESA                                                                                             
1338; JET SPRITE                                                                                           
1339; MEL                                                                                                  
1340; PELCO                                                                                                
1341; CSE                                                                                                  
1342; ELIMA H8                                                                                             
1343; FIGFA                                                                                                
1344; FIRST EYD                                                                                            
1345; GBC IMAGE MAX                                                                                        
1346; VERTEX                                                                                               
1347; DOD                                                                                                  
1348; GATOR                                                                                                
1349; STK                                                                                                  
1350; BIBBY STERILIN                                                                                       
1351; THERMOEC                                                                                             
1352; NORATEL                                                                                              
1353; PROSKIT                                                                                              
1354; TRANSCELL                                                                                            
1355; MIYAKO                                                                                               
1356; LABNET                                                                                               
1357; RIELE BERLIN                                                                                         
1358; METIOHM                                                                                              
1359; WATERS                                                                                               
1360; POWER SENTRY                                                                                         
1361; ULTRA                                                                                                
1362; KENSINGTON                                                                                           
1363; ABI                                                                                                  
1364; YARDMAN                                                                                              
1365; FANTEL                                                                                               
1366; DAEWOO                                                                                               
1367; AOPEN                                                                                                
1368; SP                                                                                                   
1369; TATU                                                                                                 
1370; NEW HOLLAND                                                                                          
1371; VIDAL SASSOON                                                                                        
1372; SUTEX                                                                                                
1373; EPSON STYLUS                                                                                         
1374; CODEHOTEL                                                                                            
1375; PEDDINGHAUS                                                                                          
1376; KENACI                                                                                               
1377; HACH                                                                                                 
1378; DIGESDHAL                                                                                            
1379; WHEATON                                                                                              
1380; PARKER                                                                                               
1381; THOMAS                                                                                               
1382; ELECTROMANTHE                                                                                        
1383; MARSHALL                                                                                             
1384; APPLIGENE                                                                                            
1385; ECOGAS                                                                                               
1386; KONICA                                                                                               
1387; QUEST                                                                                                
1388; OAKTON                                                                                               
1389; 3B                                                                                                   
1390; WELLCH ALLYN                                                                                         
1391; GBC                                                                                                  
1392; PROVIDEO                                                                                             
1393; SECURITAL                                                                                            
1394; JENWAY                                                                                               
1395; SUPER POWER                                                                                          
1396; NUAIRE                                                                                               
1397; FRAMAR                                                                                               
1398; MAXELL                                                                                               
1399; TECHKNOL POWER                                                                                       
1400; PINE                                                                                                 
1401; CELCO                                                                                                
1402; TAYLOR                                                                                               
1403; MILLWAUKEE                                                                                           
1404; HOKWANG                                                                                              
1405; DIMENSIONS                                                                                           
1406; EUREKA                                                                                               
1407; TFAL                                                                                                 
1408; TRULY                                                                                                
1409; IKELITE                                                                                              
1410; ACRIMET                                                                                              
1411; GOLDONI                                                                                              
1412; MCP                                                                                                  
1413; MAXTONE                                                                                              
1414; TAKY                                                                                                 
1415; JPA                                                                                                  
1416; KIA                                                                                                  
1417; ROMHILDT                                                                                             
1418; HALCO                                                                                                
1419; CYCLONE                                                                                              
1420; DECATUR                                                                                              
1421; METRO COUNT                                                                                          
1422; FIRE CIENTIFIC                                                                                       
1423; MANFROTTO                                                                                            
1424; EPSON FX-980                                                                                         
1425; GILBERT                                                                                              
1426; ICESA                                                                                                
1427; KELVINATOR                                                                                           
1428; ALTATER                                                                                              
1429; BARK                                                                                                 
1430; ACCULAB                                                                                              
1431; ADIMICROSCAN                                                                                         
1432; ALLIED                                                                                               
1433; ANDOLAS                                                                                              
1434; ARGUS                                                                                                
1435; ASTATIC                                                                                              
1436; BRINET                                                                                               
1437; CRONEL                                                                                               
1438; C4                                                                                                   
1439; RIMAX                                                                                                
1440; PHIHONG                                                                                              
1441; HGL                                                                                                  
1442; HOOVER KLEANER                                                                                       
1443; HUNDREDS                                                                                             
1444; JATA                                                                                                 
1445; JOHN LITE                                                                                            
1446; KELIX                                                                                                
1447; KENDA                                                                                                
1448; KEYMOUSE                                                                                             
1449; KEYSTNY                                                                                              
1450; KOOCOLL OPÉRATOR                                                                                     
1451; LUXORI                                                                                               
1452; MICROCOPY                                                                                            
1453; MICROMASTER                                                                                          
1454; PIPET AID                                                                                            
1455; PLUSTEK                                                                                              
1456; PROUDLY                                                                                              
1457; RETRON                                                                                               
1458; SIMPLEX                                                                                              
1459; SLEEPMATE                                                                                            
1460; SPR SCIENTIFIC                                                                                       
1461; SYSGEN                                                                                               
1462; TESHNE                                                                                               
1463; TEXSPORT                                                                                             
1464; THANINEX                                                                                             
1465; TOPPA                                                                                                
1466; ERM                                                                                                  
1467; HANHART                                                                                              
1468; MEGATRON                                                                                             
1469; JDP                                                                                                  
1470; POWER BOOK                                                                                           
1471; ONSET                                                                                                
1472; FACILITO                                                                                             
1473; HUNAN                                                                                                
1474; SANTORIUS                                                                                            
1475; ERICOMP                                                                                              
1476; LUXAFLEX                                                                                             
1477; PROCEQ                                                                                               
1478; NIKOM                                                                                                
1479; FINI                                                                                                 
1480; WILKS                                                                                                
1481; MENMERT                                                                                              
1482; B&C                                                                                                  
1483; ÑILWAUKEE                                                                                            
1484; GENPROBE                                                                                             
1485; FALCO NATURBIEER                                                                                     
1486; PG WILSON                                                                                            
1487; TERMOLINE                                                                                            
1488; WTW                                                                                                  
1489; ELECTROMANTLE                                                                                        
1490; DADE BEHRING                                                                                         
1491; SELWOOD                                                                                              
1492; TORREY                                                                                               
1493; MARUYAMA                                                                                             
1494; LEVINTON                                                                                             
1495; UNIVEX                                                                                               
1496; FISHER ROTO RACK                                                                                     
1497; PRACEL                                                                                               
1498; DYNATRONICS                                                                                          
1499; JKEXER                                                                                               
1500; PETROF                                                                                               
1501; QUIDELIT                                                                                             
1502; TRIPP LITE                                                                                           
1503; STARFORCE                                                                                            
1504; MAGIC CHEFT                                                                                          
1505; MAGOM                                                                                                
1506; DAIWA                                                                                                
1507; DEXXA                                                                                                
1508; VL                                                                                                   
1509; AMBASSADOR                                                                                           
1510; ELECTRICOLOR                                                                                         
1511; VELP                                                                                                 
1512; PORTLINE                                                                                             
1513; ELECTRICORD                                                                                          
1514; PROAM                                                                                                
1515; POWER TAPS                                                                                           
1516; KIN KON                                                                                              
1517; VIRTIS                                                                                               
1518; HIPO LICO                                                                                            
1519; BENDIX/KING                                                                                          
1520; A.C. GENERATORS                                                                                      
1521; POWER TOOLS                                                                                          
1522; BELL PHONES                                                                                          
1523; TEMPORARY POWER                                                                                      
1524; BLACKOUTBUSTER                                                                                       
1525; YASUN                                                                                                
1526; PROLOGE                                                                                              
1527; DA-LIGHT                                                                                             
1528; DEWALT                                                                                               
1529; WESTCLOX                                                                                             
1530; KOOL OPERATOR                                                                                        
1531; POWER PLAY                                                                                           
1532; LYON SECURITY                                                                                        
1533; SIMPSON                                                                                              
1534; SENAO                                                                                                
1535; INDURA                                                                                               
1536; WHIRPOOL                                                                                             
1537; DURALUM                                                                                              
1538; GUARINGE                                                                                             
1539; FORAS                                                                                                
1540; HORBART                                                                                              
1541; BLUE WHITE                                                                                           
1542; STHIL                                                                                                
1543; COLDMETAL                                                                                            
1544; SREEN                                                                                                
1545; JETSPAY                                                                                              
1546; BLOTGET                                                                                              
1547; FAEDA                                                                                                
1548; JHON DERE                                                                                            
1549; COLDELEC                                                                                             
1550; ALC                                                                                                  
1551; SCHULTZ                                                                                              
1552; GMCS                                                                                                 
1553; LEVITON                                                                                              
1554; GLASTAR                                                                                              
1555; SAE                                                                                                  
1556; POWER CENTRY                                                                                         
1557; PROETI                                                                                               
1558; BORLETTI                                                                                             
1559; IBOOK                                                                                                
1560; POWER PRO                                                                                            
1561; BLACK BOX                                                                                            
1562; PCK                                                                                                  
1563; LITEON                                                                                               
1564; CHICONY                                                                                              
1565; DURST                                                                                                
1566; PANQUIT                                                                                              
1567; FLUKC                                                                                                
1568; SOCORRES                                                                                             
1569; BELART                                                                                               
1570; KEESER                                                                                               
1571; HEALTH                                                                                               
1572; PRESTIGE                                                                                             
1573; LUMISCRIBE                                                                                           
1574; STOPWATCH                                                                                            
1575; FISIOLINE                                                                                            
1576; SECS                                                                                                 
1577; POWER PATROL                                                                                         
1578; STUDIOWORKS                                                                                          
1579; KOPF                                                                                                 
1580; SANDY                                                                                                
1581; TECUNSEH                                                                                             
1582; BENCH GRINDER                                                                                        
1583; CATA                                                                                                 
1584; RAPESCO                                                                                              
1585; GS                                                                                                   
1586; TRIKON                                                                                               
1587; JASUN                                                                                                
1588; TAROS                                                                                                
1589; FAHRENHEAT                                                                                           
1590; ARMSTRONG                                                                                            
1591; BROADCROWN                                                                                           
1592; KAISER                                                                                               
1593; CODISON                                                                                              
1594; HUGER                                                                                                
1595; AUDIOVOX                                                                                             
1596; BIOEQUIP                                                                                             
1597; ASSIN                                                                                                
1598; HP                                                                                                   
1599; CISCO SYSTEM                                                                                         
1600; SUN MICROSYSTEM                                                                                      
1601; ZEISS                                                                                                
1602; SIRMAN                                                                                               
1603; MEMORES                                                                                              
1604; HARRICANE                                                                                            
1605; NOC                                                                                                  
1606; MARUS                                                                                                
1607; LYNX                                                                                                 
1608; STAR DENTAL                                                                                          
1609; FINDME                                                                                               
1610; BOSCH                                                                                                
1611; TESTO                                                                                                
1612; BEAUCOIIP                                                                                            
1613; PACKETEER                                                                                            
1614; MOTAN                                                                                                
